RETAILER,BRAND,Product,Product_category,OFFER
mcalisters deli,mcalisters deli,prepared meals,deli & bakery,"Sign up for McAlister's Deli Rewards, tap for details"
,star wars,bath & body,health & wellness,
amazon,gatorade,sports drinks,sports drinks & enhanced waters,"GATORADE® Fast Twitch®, 12-ounce 12 pack, at Amazon Storefront*"
,gatorade,sports drinks,sports drinks & enhanced waters,"GATORLYTE® OR GATORADE™ Fit Single Serve Bottle, select varieties, buy 2"
fred meyer,gatorade,sports drinks,sports drinks & enhanced waters,"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger"
,gatorade,sports drinks,sports drinks & enhanced waters,"GATORADE® Fast Twitch®, 12-ounce single serve"
dillons grocery,gatorade,sports drinks,sports drinks & enhanced waters,"GATORADE® Fast Twitch®, 12-ounce single serve, at Kroger"
,gatorade,sports drinks,sports drinks & enhanced waters,"GATORLYTE® OR GATORADE™ Fit Single Serve Bottle, select varieties"
food4less,gatorade,sports drinks,sports drinks & enhanced waters,"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger"
,betty crocker,cooking & baking,pantry,
,eggo,frozen breakfast,frozen,
,fireball,spirits,alcohol,
,coors light,beer,alcohol,"Molson Coors®, select varieties, 12 pack+"
,natures own,bread,pantry,
,pringles,chips,snacks,
,trueliving,bath & body,health & wellness,
,las totally awesome,bath & body,health & wellness,
,jif,nut butters & jam,pantry,
,goya,cooking & baking,pantry,GOYA® Coconut Water
,goya,cooking & baking,pantry,"GOYA® Adobo Seasoning, 8 ounce+"
,nestle drumstick,frozen desserts,frozen,
,tropicana,fruit juices,beverages,
,ole smoky,spirits,alcohol,
,kellogg's,frozen desserts,frozen,
,rexall,bath & body,health & wellness,
,michelob ultra,beer,alcohol,
,baby soft,baby bathing,baby & toddler,
,quaker,"cereal, granola, & toaster pastries",pantry,
,yoplait,yogurt,dairy,
,thomas,bread,pantry,"Thomas'® Bagel Thins®, buy 2"
,thomas,bread,pantry,"Thomas'®, select varieties, spend $10"
,thomas,bread,pantry,Thomas'® Bagel Thins
,barilla,dry pasta,pasta & noodles,Barilla® Pesto Sauce
,barilla,dry pasta,pasta & noodles,"Barilla® Pasta, select varieties, buy 2"
,barilla,dry pasta,pasta & noodles,"Barilla® pasta, select varieties, buy 3"
,barilla,dry pasta,pasta & noodles,"Barilla® pasta, select varieties, buy 4"
,barilla,dry pasta,pasta & noodles,"Barilla® pasta, select varieties, buy 2"
,ruffles,chips,snacks,
,tyson,frozen chicken,frozen meat,
amazon,gatorade,medicines & treatments,health & wellness,"GATORADE® Fast Twitch®, 12-ounce 12 pack, at Amazon Storefront*"
,gatorade,medicines & treatments,health & wellness,"GATORLYTE® OR GATORADE™ Fit Single Serve Bottle, select varieties, buy 2"
fred meyer,gatorade,medicines & treatments,health & wellness,"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger"
,gatorade,medicines & treatments,health & wellness,"GATORADE® Fast Twitch®, 12-ounce single serve"
dillons grocery,gatorade,medicines & treatments,health & wellness,"GATORADE® Fast Twitch®, 12-ounce single serve, at Kroger"
,gatorade,medicines & treatments,health & wellness,"GATORLYTE® OR GATORADE™ Fit Single Serve Bottle, select varieties"
food4less,gatorade,medicines & treatments,health & wellness,"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger"
,studio selection,hair removal,health & wellness,
,dg home,bath & body,health & wellness,
,corona,beer,alcohol,
,heb,bath & body,health & wellness,
,coca-cola zero,carbonated soft drinks,beverages,
,shorts variety pack,beer,alcohol,
,snickers,candy,snacks,"SNICKERS®, select sizes, buy 1"
,snickers,candy,snacks,"SNICKERS® chocolate candy bar, select varieties"
,sargento,cheese,dairy,"Sargento Sliced Cheese, spend $25"
,sargento,cheese,dairy,"Sargento Sliced Cheese, spend $12"
,sargento,cheese,dairy,"Sargento® products, select varieties"
,sargento,cheese,dairy,"Sargento® products, select varieties, buy 3"
,sargento,cheese,dairy,"Sargento Sliced Cheese, spend $18"
,sargento,cheese,dairy,Sargento Product
,canada dry,carbonated soft drinks,beverages,
,arizona,tea,beverages,
,bud light,beer,alcohol,
,dg body,hair removal,health & wellness,
,yuengling,beer,alcohol,
walmart,entenmanns,snack cakes,snacks,Little Bites® Spend $10 at Walmart®
,instacart,medicines & treatments,health & wellness,
,great value,household supplies,household supplies,
mcalisters deli,mcalisters deli,leafy salads,deli & bakery,"Sign up for McAlister's Deli Rewards, tap for details"
,tostitos,chips,snacks,Tostitos® Toppers™
,sparkling ice,water,beverages,
,planters,nuts & seeds,snacks,
,doritos,chips,snacks,
,pepperidge farm,bread,pantry,
,dole,cooking & baking,pantry,
,perdue,frozen chicken,frozen meat,
,joy,bath & body,health & wellness,
,la vostra,wine,alcohol,
,smart care,household supplies,household supplies,
,bells,beer,alcohol,
,captain morgan,spirits,alcohol,
,mission,bread,pantry,
,write dudes,household supplies,household supplies,
,hostess,snack cakes,snacks,
,barcel takis,chips,snacks,
mcalisters deli,mcalisters deli,tea,beverages,"Sign up for McAlister's Deli Rewards, tap for details"
,doritos,fruit & vegetable snacks,snacks,
,lay's,chips,snacks,
,gasolina,spirits,alcohol,
,wet ones,bath & body,health & wellness,
,best brands,bath & body,health & wellness,
,rc,carbonated soft drinks,beverages,
caseys general store,caseys general store,candy,snacks,Order from Casey's app or Caseys.com
caseys general store,caseys general store,candy,snacks,Spend $25 at Casey's
caseys general store,caseys general store,candy,snacks,Spend $5 in-store at Casey's
caseys general store,caseys general store,candy,snacks,Select beverages AND prepared food items at Casey's
caseys general store,caseys general store,candy,snacks,Visit OR order online from Casey's 7 times
caseys general store,caseys general store,candy,snacks,Spend $5 on single-serve prepared food items at Casey's
caseys general store,caseys general store,candy,snacks,12 Pack OR 2 Liter AND Whole Pizza Pie at Casey's
caseys general store,caseys general store,candy,snacks,Whole Pizza at Casey's
caseys general store,caseys general store,candy,snacks,Wings OR Cheesy Breadsticks at Casey's
caseys general store,caseys general store,candy,snacks,Whole Pizza Pie at Casey's
caseys general store,caseys general store,candy,snacks,Frozen OR Fountain Drink at Casey's
caseys general store,caseys general store,candy,snacks,Spend $10 in-store at Casey's
caseys general store,caseys general store,candy,snacks,"Fresh bakery item, select varieties, at Casey's"
caseys general store,caseys general store,candy,snacks,Whole pizza at Casey's
caseys general store,caseys general store,candy,snacks,12 Pack OR 2 Liter AND Whole Pizza at Casey's
caseys general store,caseys general store,candy,snacks,Frozen OR Fountain Drink at Casey's 
caseys general store,caseys general store,candy,snacks,Visit OR order online from Casey's 3 times
caseys general store,caseys general store,candy,snacks,Visit OR order online from Casey's 5 times
caseys general store,caseys general store,candy,snacks,12 pack OR 2 liter AND Whole Pizza at Casey's
caseys general store,caseys general store,candy,snacks,Whole Pizza at Casey's 
caseys general store,caseys general store,candy,snacks,"Fresh Bakery Products at Casey's, select varieties"
caseys general store,caseys general store,candy,snacks,Spend $10 on Casey's branded packaged products
caseys general store,caseys general store,candy,snacks,2 Pack OR 2 Liter AND Whole Pizza at Casey's
caseys general store,caseys general store,candy,snacks,Select Beverages AND Prepared Food Item at Casey's
caseys general store,caseys general store,candy,snacks,"Fresh Bakery items, select varieties, at Casey's"
caseys general store,caseys general store,candy,snacks,Spend $5 on brisket mac & cheese sandwich OR other single-serve prepared food item
,staedtler,household supplies,household supplies,
,sun,bath & body,health & wellness,
,pure silk,hair removal,health & wellness,
,velveeta,cheese,dairy,
walmart,sara lee,bread,pantry,"Sara Lee® bread, select varieties, buy 2 at Walmart®"
walmart,sara lee,bread,pantry,"Sara Lee® bread select varieties, buy 2"
,sara lee,bread,pantry,"Sara Lee® Delightful bread, buy 2"
,dogfish head,beer,alcohol,
,sprite,carbonated soft drinks,beverages,
,ben and jerrys,frozen desserts,frozen,"Ben & Jerry's Frozen Creme Brulee Non Dairy Dessert, 16 ounce"
,ben and jerrys,frozen desserts,frozen,"Ben & Jerry's® Doggie Desserts, 4 count"
,ben and jerrys,frozen desserts,frozen,"Ben & Jerry's Frozen Sugar Cookie Dough Chunks, 8 ounce"
,ben and jerrys,frozen desserts,frozen,"Ben & Jerry's®, select varieties"
,ben and jerrys,frozen desserts,frozen,"Ben & Jerry's®, select varieties, spend $12"
,ben and jerrys,frozen desserts,frozen,"Ben & Jerry's® Doggie Desserts, 4 ounce, buy 2"
,ben and jerrys,frozen desserts,frozen,"Ben & Jerry's Wake & No Bake Cookie Dough Ice Cream, 16 ounce"
,ben and jerrys,frozen desserts,frozen,Ben & Jerry's® Churray For Churros™ Ice Cream
,pillsbury,refrigerated doughs,dairy,
,kings hawaiian,bread,pantry,
,ush blueberries,fruit & vegetable snacks,snacks,
,studio selection,bath & body,health & wellness,
,aquafina,water,beverages,
martins foods,breyers,frozen desserts,frozen,"Breyers Reese's Ice Cream, select varieties, at GIANT OR MARTIN’S"
,innovations,bath & body,health & wellness,
,tower vodka,spirits,alcohol,
,margaritaville,malt beverages,alcohol,
,bodyarmor,sports drinks,sports drinks & enhanced waters,
,ocean spray,fruit juices,beverages,
mcalisters deli,mcalisters deli,wine,alcohol,"Sign up for McAlister's Deli Rewards, tap for details"
,sprite zero,carbonated soft drinks,beverages,
,roni,rice & grains,pantry,
,haagen-dazs,frozen desserts,frozen,
,colgate toothpaste,oral care,health & wellness,
,borrasca,wine,alcohol,
,twix,candy,snacks,"TWIX®, select sizes"
,twix,candy,snacks,"TWIX®, select varieties"
,malibu rtd,spirits,alcohol,
,heinz,sauces & marinades,pantry,
target,dove,bath & body,health & wellness,"Dove Hand Wash, select varieties, buy 2 at Target"
target,dove,bath & body,health & wellness,"Dove Hand Wash, select varieties at Target"
,simply lemonade,fruit juices,beverages,
,skittles,candy,snacks,"SKITTLES®, select varieties"
,skittles,candy,snacks,"SKITTLES®, select sizes"
,dish works,bath & body,health & wellness,
,dawn ez squeeze,bath & body,health & wellness,
,minute maid,fruit juices,beverages,
caseys general store,caseys general store,energy drinks,beverages,Order from Casey's app or Caseys.com
caseys general store,caseys general store,energy drinks,beverages,Spend $25 at Casey's
caseys general store,caseys general store,energy drinks,beverages,Spend $5 in-store at Casey's
caseys general store,caseys general store,energy drinks,beverages,Select beverages AND prepared food items at Casey's
caseys general store,caseys general store,energy drinks,beverages,Visit OR order online from Casey's 7 times
caseys general store,caseys general store,energy drinks,beverages,Spend $5 on single-serve prepared food items at Casey's
caseys general store,caseys general store,energy drinks,beverages,12 Pack OR 2 Liter AND Whole Pizza Pie at Casey's
caseys general store,caseys general store,energy drinks,beverages,Whole Pizza at Casey's
caseys general store,caseys general store,energy drinks,beverages,Wings OR Cheesy Breadsticks at Casey's
caseys general store,caseys general store,energy drinks,beverages,Whole Pizza Pie at Casey's
caseys general store,caseys general store,energy drinks,beverages,Frozen OR Fountain Drink at Casey's
caseys general store,caseys general store,energy drinks,beverages,Spend $10 in-store at Casey's
caseys general store,caseys general store,energy drinks,beverages,"Fresh bakery item, select varieties, at Casey's"
caseys general store,caseys general store,energy drinks,beverages,Whole pizza at Casey's
caseys general store,caseys general store,energy drinks,beverages,12 Pack OR 2 Liter AND Whole Pizza at Casey's
caseys general store,caseys general store,energy drinks,beverages,Frozen OR Fountain Drink at Casey's 
caseys general store,caseys general store,energy drinks,beverages,Visit OR order online from Casey's 3 times
caseys general store,caseys general store,energy drinks,beverages,Visit OR order online from Casey's 5 times
caseys general store,caseys general store,energy drinks,beverages,12 pack OR 2 liter AND Whole Pizza at Casey's
caseys general store,caseys general store,energy drinks,beverages,Whole Pizza at Casey's 
caseys general store,caseys general store,energy drinks,beverages,"Fresh Bakery Products at Casey's, select varieties"
caseys general store,caseys general store,energy drinks,beverages,Spend $10 on Casey's branded packaged products
caseys general store,caseys general store,energy drinks,beverages,2 Pack OR 2 Liter AND Whole Pizza at Casey's
caseys general store,caseys general store,energy drinks,beverages,Select Beverages AND Prepared Food Item at Casey's
caseys general store,caseys general store,energy drinks,beverages,"Fresh Bakery items, select varieties, at Casey's"
caseys general store,caseys general store,energy drinks,beverages,Spend $5 on brisket mac & cheese sandwich OR other single-serve prepared food item
,kelloggs,"cereal, granola, & toaster pastries",pantry,
,kelloggs,packaged vegetables,pantry,
,miller lite,beer,alcohol,
,good chemistry,deodorant & antiperspirant,health & wellness,
,stella rosa,wine,alcohol,
,capri sun,fruit juices,beverages,
,hellmann's/best foods,condiments,pantry,
,lifesavers,candy,snacks,LIFE SAVERS®
,lifesavers,candy,snacks,"LIFESAVERS®, any size, buy 1"
,neutrogena,hair removal,health & wellness,
,snyders of hanover,pretzels,snacks,
,dawn simply clean,bath & body,health & wellness,
,wegmans,bath & body,health & wellness,
,cheez it,crackers,snacks,
,chobani,yogurt,dairy,
,glaceau,water,beverages,
,white claw hard seltzer,"hard seltzers, sodas, waters, lemonades & teas",alcohol,
,kit kat,candy,snacks,
,arm & hammer,hair care,health & wellness,
,tyson,packaged meat,pantry,
,gamesa,candy,snacks,
,oscar mayer,prepared meals,deli & bakery,
,totinos,frozen pizza & pizza snacks,frozen,
,modelo,beer,alcohol,
,predo,wine,alcohol,
,extra,gum,candy,"EXTRA®, select varieties"
,extra,gum,candy,"EXTRA®, select sizes"
,gillette venus,hair removal,health & wellness,Gillette Venus ® for Pubic Hair & Skin spend $20
,gillette venus,hair removal,health & wellness,Gillette Venus ® for Pubic Hair & Skin
,gillette venus,hair removal,health & wellness,"Gillette Venus ® for Pubic Hair & Skin, spend $20"
caseys general store,caseys general store,cookies,snacks,Order from Casey's app or Caseys.com
caseys general store,caseys general store,cookies,snacks,Spend $25 at Casey's
caseys general store,caseys general store,cookies,snacks,Spend $5 in-store at Casey's
caseys general store,caseys general store,cookies,snacks,Select beverages AND prepared food items at Casey's
caseys general store,caseys general store,cookies,snacks,Visit OR order online from Casey's 7 times
caseys general store,caseys general store,cookies,snacks,Spend $5 on single-serve prepared food items at Casey's
caseys general store,caseys general store,cookies,snacks,12 Pack OR 2 Liter AND Whole Pizza Pie at Casey's
caseys general store,caseys general store,cookies,snacks,Whole Pizza at Casey's
caseys general store,caseys general store,cookies,snacks,Wings OR Cheesy Breadsticks at Casey's
caseys general store,caseys general store,cookies,snacks,Whole Pizza Pie at Casey's
caseys general store,caseys general store,cookies,snacks,Frozen OR Fountain Drink at Casey's
caseys general store,caseys general store,cookies,snacks,Spend $10 in-store at Casey's
caseys general store,caseys general store,cookies,snacks,"Fresh bakery item, select varieties, at Casey's"
caseys general store,caseys general store,cookies,snacks,Whole pizza at Casey's
caseys general store,caseys general store,cookies,snacks,12 Pack OR 2 Liter AND Whole Pizza at Casey's
caseys general store,caseys general store,cookies,snacks,Frozen OR Fountain Drink at Casey's 
caseys general store,caseys general store,cookies,snacks,Visit OR order online from Casey's 3 times
caseys general store,caseys general store,cookies,snacks,Visit OR order online from Casey's 5 times
caseys general store,caseys general store,cookies,snacks,12 pack OR 2 liter AND Whole Pizza at Casey's
caseys general store,caseys general store,cookies,snacks,Whole Pizza at Casey's 
caseys general store,caseys general store,cookies,snacks,"Fresh Bakery Products at Casey's, select varieties"
caseys general store,caseys general store,cookies,snacks,Spend $10 on Casey's branded packaged products
caseys general store,caseys general store,cookies,snacks,2 Pack OR 2 Liter AND Whole Pizza at Casey's
caseys general store,caseys general store,cookies,snacks,Select Beverages AND Prepared Food Item at Casey's
caseys general store,caseys general store,cookies,snacks,"Fresh Bakery items, select varieties, at Casey's"
caseys general store,caseys general store,cookies,snacks,Spend $5 on brisket mac & cheese sandwich OR other single-serve prepared food item
,smirnoff ice,malt beverages,alcohol,
,smirnoff,spirits,alcohol,
,heineken,beer,alcohol,
,knorr,cooking & baking,pantry,
,gold peak,tea,beverages,
,prego,red pasta sauce,pasta sauce,
,crest,oral care,health & wellness,
,luxury edition,wine,alcohol,
,lance,fruit & vegetable snacks,snacks,
,starburst,candy,snacks,"STARBURST®, select sizes, buy 1"
,starburst,candy,snacks,"STARBURST®, select varieties"
,hersheys whoppers,candy,snacks,
,jimmy dean,"cereal, granola, & toaster pastries",pantry,
,ed,wine,alcohol,
,frito lay,chips,snacks,
,clorox fraganzia,bath & body,health & wellness,
mcalisters deli,mcalisters deli,fruit juices,beverages,"Sign up for McAlister's Deli Rewards, tap for details"
,belvino,wine,alcohol,
,baileys,spirits,alcohol,
,heinz,condiments,pantry,
,parents choice,bath & body,health & wellness,
,pure leaf,tea,beverages,
,new belgium primus mural variety pack,beer,alcohol,
united supermarkets,dr pepper,cooking & baking,pantry,"Dr Pepper®, Regular OR Zero Sugar Strawberries and Cream 12 pack, at select retailers"
,lipton bottled iced tea,tea,beverages,
,cheerios,"cereal, granola, & toaster pastries",pantry,Cheerios™ Oat Crunch Berry Cereal
,papermate,household supplies,household supplies,
,kit kat,candy,snacks,
,hidden valley ranch,dips & salsa,snacks,"Hidden Valley® Ranch Salad Dressing OR Secret Sauce, select varieties"
,hidden valley ranch,dips & salsa,snacks,"Hidden Valley® Ranch Seasoning Mix Packet, 1 count"
,hidden valley ranch,dips & salsa,snacks,"Hidden Valley® Ranch Seasoning, select varieties"
,hidden valley ranch,dips & salsa,snacks,Hidden Valley® Ranch Seasoning Shaker
,hidden valley ranch,dips & salsa,snacks,"Hidden Valley® Ranch Night Seasoning Mix, 1 count"
,m&m's,candy,snacks,
,pepperidge farm,crackers,snacks,
,slim jim,jerky & dried meat,snacks,
,bounty,household supplies,household supplies,
,minute maid premium,fruit juices,beverages,
,cloud break,wine,alcohol,
,sierra,hair removal,health & wellness,
,folgers,coffee,beverages,
,diet coke caffeine free,carbonated soft drinks,beverages,
,malta india,beer,alcohol,
,smuckers uncrustables,nut butters & jam,pantry,
,celsius,carbonated soft drinks,beverages,
,arizona,fruit juices,beverages,
,kraft,dips & salsa,snacks,
,digiorno,frozen pizza & pizza snacks,frozen,
,ball park pop ups,bread,pantry,"BallPark® buns, buy 2"
,ragu,red pasta sauce,pasta sauce,
,evriholder,bath & body,health & wellness,
,pace,cooking & baking,pantry,
,chex mix,snack mixes,snacks,
,bacardi party drinks bacardi usa,spirits,alcohol,
,jose cuervo,spirits,alcohol,
,barefoot,wine,alcohol,
,four loko pregame,malt beverages,alcohol,
,ragu,sauces & marinades,pantry,
,sweetwater,beer,alcohol,
,tostitos,dips & salsa,snacks,Tostitos® Toppers™
,perdue,packaged meat,pantry,
,prego,sauces & marinades,pantry,
,land o lakes,prepared meals,deli & bakery,
,barq's,carbonated soft drinks,beverages,
,jim beam,spirits,alcohol,
caseys general store,caseys general store,puffed snacks,snacks,Order from Casey's app or Caseys.com
caseys general store,caseys general store,puffed snacks,snacks,Spend $25 at Casey's
caseys general store,caseys general store,puffed snacks,snacks,Spend $5 in-store at Casey's
caseys general store,caseys general store,puffed snacks,snacks,Select beverages AND prepared food items at Casey's
caseys general store,caseys general store,puffed snacks,snacks,Visit OR order online from Casey's 7 times
caseys general store,caseys general store,puffed snacks,snacks,Spend $5 on single-serve prepared food items at Casey's
caseys general store,caseys general store,puffed snacks,snacks,12 Pack OR 2 Liter AND Whole Pizza Pie at Casey's
caseys general store,caseys general store,puffed snacks,snacks,Whole Pizza at Casey's
caseys general store,caseys general store,puffed snacks,snacks,Wings OR Cheesy Breadsticks at Casey's
caseys general store,caseys general store,puffed snacks,snacks,Whole Pizza Pie at Casey's
caseys general store,caseys general store,puffed snacks,snacks,Frozen OR Fountain Drink at Casey's
caseys general store,caseys general store,puffed snacks,snacks,Spend $10 in-store at Casey's
caseys general store,caseys general store,puffed snacks,snacks,"Fresh bakery item, select varieties, at Casey's"
caseys general store,caseys general store,puffed snacks,snacks,Whole pizza at Casey's
caseys general store,caseys general store,puffed snacks,snacks,12 Pack OR 2 Liter AND Whole Pizza at Casey's
caseys general store,caseys general store,puffed snacks,snacks,Frozen OR Fountain Drink at Casey's 
caseys general store,caseys general store,puffed snacks,snacks,Visit OR order online from Casey's 3 times
caseys general store,caseys general store,puffed snacks,snacks,Visit OR order online from Casey's 5 times
caseys general store,caseys general store,puffed snacks,snacks,12 pack OR 2 liter AND Whole Pizza at Casey's
caseys general store,caseys general store,puffed snacks,snacks,Whole Pizza at Casey's 
caseys general store,caseys general store,puffed snacks,snacks,"Fresh Bakery Products at Casey's, select varieties"
caseys general store,caseys general store,puffed snacks,snacks,Spend $10 on Casey's branded packaged products
caseys general store,caseys general store,puffed snacks,snacks,2 Pack OR 2 Liter AND Whole Pizza at Casey's
caseys general store,caseys general store,puffed snacks,snacks,Select Beverages AND Prepared Food Item at Casey's
caseys general store,caseys general store,puffed snacks,snacks,"Fresh Bakery items, select varieties, at Casey's"
caseys general store,caseys general store,puffed snacks,snacks,Spend $5 on brisket mac & cheese sandwich OR other single-serve prepared food item
,mug root beer,carbonated soft drinks,beverages,
,bacardi,spirits,alcohol,
,live for tomorrow,bath & body,health & wellness,
,nerds,candy,snacks,
,clorox,cooking & baking,pantry,
,banquet,frozen meals,frozen,
,betty crocker,packaged meat,pantry,
,tasty,wine,alcohol,
,kahlua,spirits,alcohol,
,santitas,chips,snacks,
,old spice,deodorant & antiperspirant,health & wellness,
,buttercream,wine,alcohol,
,celsius,sports drinks,sports drinks & enhanced waters,
,low hanging fruit,wine,alcohol,
walmart,arnold brownberry oroweat,bread,pantry,"Arnold, Brownberry, Oroweat® Small Slice bread, at Walmart"
,arnold brownberry oroweat,bread,pantry,"Arnold, Brownberry, Oroweat® Keto bread, buy 2"
,arnold brownberry oroweat,bread,pantry,Arnold® Grains Almighty
,ush blueberries,candy,snacks,
,kelloggs,rice & grains,pantry,
,lipton,tea,beverages,
,palo viejo palo ready,spirits,alcohol,
